Feature,FeatureImportance
EarlyActiveWeeks30,0.10682448919714929
EarlySessions30,0.10096747903185328
Age,0.08028097095487124
BaselineWeightKg,0.04775460509553712
BaselineBMI,0.04182928608429781
EarlyUniqueActivityTypes30,0.03976966687029848
BaselineFeelingOptimistic,0.02507315338447871
BaselineConfidenceToJoin,0.0221726464925522
BaselineFeelingRelaxed,0.020449871602627512
BaselineFeelingConfident,0.020389674910184646
Site_calthorpe wellbeing hub,0.02024991856789589
Site_alum rock community centre,0.01949396857769602
BaselineFeelingCheerful,0.01888393186889911
BaselineFeelingUseful,0.017569697337183273
Language_English,0.015971912245837494
Referral_WeightManagement,0.015792294278052673
Occupation_homemaker,0.015203031675753934
Ethnicity_asian - pakistani,0.014571434172843505
HasHealthConditionOrDisability_no,0.014331176602937454
Referral_LongTermCondition,0.014235057904149678
HasHealthConditionOrDisability_yes,0.013873127881697712
CaringResponsibilities,0.013659076893208277
HeardAboutSaheli_word of mouth,0.013081392173675566
Language_Urdu,0.012949394545324849
Referral_ExerciseMobility,0.012098920242219213
Referral_HealthyEating,0.011902820510832215
LivingAlone,0.01185968066107371
Referral_MentalHealth,0.011124195608143329
Occupation_infrequent_sklearn,0.010203324913009707
HeardAboutSaheli_gp,0.009781895671010963
PreferredLanguageMissing,0.009298020481267242
Occupation_missing,0.008589472501828859
Occupation_retired,0.008402410498616486
Ethnicity_black - caribbean,0.007285624443217942
Referral_Isolation,0.007270826116591751
missingindicator_BaselineBMI,0.007114548860695602
Ethnicity_infrequent_sklearn,0.0069658394907075975
Occupation_unemployed,0.006827496593209104
missingindicator_BaselineWeightKg,0.006508655253243683
Referral_SocialCircumstances,0.006423424259668956
Language_Arabic,0.005957613795258896
Referral_EmploymentTraining,0.005238933892168029
missingindicator_BaselineFeelingRelaxed,0.005070565904085427
Ethnicity_asian - bangladeshi,0.0049941783322949174
Gender_female,0.004911766597383559
missingindicator_BaselineFeelingOptimistic,0.004583743741359695
HasHealthConditionOrDisability_missing,0.004536508175137857
Referral_Other,0.0044260223653397905
Ethnicity_other ethnicity - arab,0.004326637697707467
missingindicator_BaselineFeelingCheerful,0.004243156731744533
missingindicator_BaselineFeelingUseful,0.00419004647950746
missingindicator_BaselineFeelingConfident,0.004181356716681666
Language_Mirpuri,0.0040820857863068305
Ethnicity_asian - indian,0.003963275912764199
missingindicator_BaselineConfidenceToJoin,0.0038979064307165965
Ethnicity_mixed - other mixed background,0.0038723824043351424
HeardAboutSaheli_infrequent_sklearn,0.0037628416473141422
Site_omnia medical practice,0.003733027737716484
Gender_male,0.0037227856511034287
HeardAboutSaheli_workwell,0.003722629104676114
ReferralReasonMissing,0.003474451681703652
Ethnicity_black - somalian,0.0034318617134075817
Ethnicity_asian - other asian background,0.0031539358229275556
HeardAboutSaheli_social media,0.002747221795409367
Occupation_employed,0.002715592687410635
Language_OtherUnclassified,0.002634777329083607
missingindicator_Age,0.002410767965479698
Language_Somali,0.002388766597690472
Site_missing,0.00234443415718492
Language_Bengali,0.0020618099218809543
missingindicator_CaringResponsibilities,0.0018675776792456385
Language_Punjabi,0.0018396856864815287
Ethnicity_black - african,0.0017883072196122549
Language_Pashto,0.0016475692153522068
Language_OtherKnown,0.001573895638604971
Ethnicity_white - british,0.0015661390728253744
HeardAboutSaheli_missing,0.0015257743127741015
Site_infrequent_sklearn,0.0015153704835835068
Occupation_carer,0.001307892555833351
HasHealthConditionOrDisability_infrequent_sklearn,0.0011802994680480503
Gender_infrequent_sklearn,0.0011010284927862849
Language_Gujarati,0.0007400532120093893
missingindicator_LivingAlone,0.0004569903757054271
Language_Farsi,7.39173570150325e-05
Language_Kurdish,0.0
