Feature,FeatureImportance
EarlyActiveWeeks30,0.30798786550104396
EarlySessions30,0.20800916687619458
Age,0.11938265021440729
BaselineWeightKg,0.02917209442820039
EarlyUniqueActivityTypes30,0.02665375014271202
BaselineBMI,0.0232407995698245
Site_calthorpe wellbeing hub,0.02032523637556526
Language_English,0.019187670405751225
Occupation_homemaker,0.018901908319765202
Referral_WeightManagement,0.018106828602968205
HasHealthConditionOrDisability_no,0.01683522142146479
HeardAboutSaheli_word of mouth,0.014395073671980807
Site_alum rock community centre,0.014040349582175487
HasHealthConditionOrDisability_yes,0.012601046425602227
BaselineFeelingOptimistic,0.01233823909065477
Ethnicity_asian - pakistani,0.010619457028459699
CaringResponsibilities,0.010023202720939695
BaselineConfidenceToJoin,0.008728220024708237
missingindicator_BaselineWeightKg,0.008373814152445858
BaselineFeelingConfident,0.007923126240722061
BaselineFeelingUseful,0.007574452802100946
Referral_LongTermCondition,0.007543383376301005
Referral_ExerciseMobility,0.007489673051207514
missingindicator_BaselineBMI,0.007375331957064104
BaselineFeelingRelaxed,0.007011252151663923
Referral_HealthyEating,0.006824423581396907
LivingAlone,0.006183589103382046
BaselineFeelingCheerful,0.005727934967674245
Language_Urdu,0.00482475004516888
Referral_Isolation,0.0037500881410661015
missingindicator_BaselineFeelingCheerful,0.00333964912037172
Occupation_infrequent_sklearn,0.0030203120856726216
missingindicator_BaselineFeelingOptimistic,0.002629737326134143
Referral_MentalHealth,0.002333140355388475
Occupation_missing,0.002002357714972462
missingindicator_BaselineFeelingUseful,0.001983955605290225
Occupation_retired,0.0019161847613570226
Language_Arabic,0.0016477198660261596
missingindicator_BaselineFeelingRelaxed,0.0016476914315983497
missingindicator_BaselineFeelingConfident,0.0016231557223617876
Ethnicity_black - caribbean,0.0015119716032091371
PreferredLanguageMissing,0.0013497127240098491
Ethnicity_infrequent_sklearn,0.001112664308582272
HeardAboutSaheli_gp,0.0009063169946717282
missingindicator_BaselineConfidenceToJoin,0.0008407633395499322
Ethnicity_other ethnicity - arab,0.0003498985328360362
Gender_male,0.00030990510786124014
Occupation_unemployed,0.00016509103821476628
Referral_EmploymentTraining,0.00015917238928012182
Language_Somali,0.0
Language_Bengali,0.0
Language_Mirpuri,0.0
Language_Punjabi,0.0
Ethnicity_asian - bangladeshi,0.0
Gender_infrequent_sklearn,0.0
Gender_female,0.0
ReferralReasonMissing,0.0
missingindicator_CaringResponsibilities,0.0
missingindicator_LivingAlone,0.0
missingindicator_Age,0.0
Referral_Other,0.0
Language_OtherKnown,0.0
Language_OtherUnclassified,0.0
Language_Farsi,0.0
Language_Kurdish,0.0
Language_Gujarati,0.0
Language_Pashto,0.0
Referral_SocialCircumstances,0.0
Ethnicity_mixed - other mixed background,0.0
Occupation_carer,0.0
Ethnicity_white - british,0.0
Occupation_employed,0.0
Ethnicity_asian - indian,0.0
Ethnicity_black - african,0.0
Ethnicity_asian - other asian background,0.0
Ethnicity_black - somalian,0.0
HeardAboutSaheli_social media,0.0
HeardAboutSaheli_infrequent_sklearn,0.0
HeardAboutSaheli_workwell,0.0
HeardAboutSaheli_missing,0.0
Site_missing,0.0
Site_infrequent_sklearn,0.0
Site_omnia medical practice,0.0
HasHealthConditionOrDisability_missing,0.0
HasHealthConditionOrDisability_infrequent_sklearn,0.0
